City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,Basco,20.4487,121.9702,74.55,75,100,13.71,PH,2/2/2022 20:29
372,Ostrovnoy,68.0531,39.5131,20.91,87,100,15.7,RU,2/2/2022 20:25
373,Filadelfia,39.9523,-75.1638,48.15,77,75,1.01,US,2/2/2022 20:25
374,Thinadhoo,0.5333,72.9333,82.67,70,14,8.01,MV,2/2/2022 20:29
375,Dikson,73.5069,80.5464,-8.28,98,97,10.8,RU,2/2/2022 20:29
376,Tazovskiy,67.4667,78.7,-12.98,98,100,8.05,RU,2/2/2022 20:25
377,Santa Fe,-31.6333,-60.7,102.02,28,100,1.99,AR,2/2/2022 20:29
378,Zimovniki,47.1483,42.4633,36.21,87,100,8.55,RU,2/2/2022 20:29
379,General Roca,-39.0333,-67.5833,96.62,15,3,18.48,AR,2/2/2022 20:29
380,Buchanan,5.8808,-10.0467,80.56,79,15,7.29,LR,2/2/2022 20:29
381,Vilhena,-12.7406,-60.1458,75.42,83,75,5.75,BR,2/2/2022 20:29
382,Sinjar,36.3209,41.8754,46.15,57,100,3.8,IQ,2/2/2022 20:29
383,Svetlaya,46.5389,138.3297,5.83,76,12,9.62,RU,2/2/2022 20:29
384,Hasaki,35.7333,140.8333,23.4,45,51,5.03,JP,2/2/2022 20:29
385,Lompoc,34.6391,-120.4579,67.01,20,0,12.66,US,2/2/2022 20:26
386,Sakakah,29.9697,40.2064,53.17,37,8,13.38,SA,2/2/2022 20:29
387,Hearst,49.6835,-83.6665,3.45,76,100,8.1,CA,2/2/2022 20:29
388,Shenjiamen,29.9576,122.298,45.09,76,100,18.61,CN,2/2/2022 20:29
389,Naze,28.3667,129.4833,57.49,91,100,13,JP,2/2/2022 20:29
390,Tricase,39.9304,18.3553,48.81,62,0,27.27,IT,2/2/2022 20:29
391,Dothan,31.2232,-85.3905,73.83,48,0,8.99,US,2/2/2022 20:26
392,Juneau,58.3019,-134.4197,27.84,97,100,0,US,2/2/2022 20:28
393,Chicama,-7.8447,-79.1469,68.54,53,5,14.25,PE,2/2/2022 20:29
394,Birao,10.2849,22.7882,74.91,19,10,3.76,CF,2/2/2022 20:29
395,Mahajanga,-15.7167,46.3167,80.62,89,40,6.91,MG,2/2/2022 20:29
396,Plouzane,48.3833,-4.6167,46.45,97,100,5.75,FR,2/2/2022 20:29
397,Evanston,42.0411,-87.6901,22.05,88,100,8.01,US,2/2/2022 20:26
398,Vila Velha,-20.3297,-40.2925,82.35,85,75,4.61,BR,2/2/2022 20:29
399,Touros,-5.1989,-35.4608,85.1,68,58,13.29,BR,2/2/2022 20:25
400,Mehamn,71.0357,27.8492,23.18,82,100,7.63,NO,2/2/2022 20:29
401,Vao,-22.6667,167.4833,77.76,81,100,17.36,NC,2/2/2022 20:25
402,Dongsheng,39.8161,109.9776,10.9,34,4,4.56,CN,2/2/2022 20:26
403,Nola,40.922,14.5329,52.57,78,0,4.72,IT,2/2/2022 20:29
404,Atocha,-20.9333,-66.2333,56.37,51,26,4.63,BO,2/2/2022 20:29
405,Chulman,56.8479,124.9104,-10.59,94,100,10.78,RU,2/2/2022 20:29
406,Beloha,-25.1667,45.05,74.1,73,0,20.51,MG,2/2/2022 20:29
407,Hualmay,-11.0964,-77.6139,76.06,67,4,12.64,PE,2/2/2022 20:27
408,San Jeronimo,-11.9472,-75.2829,60.91,58,53,5.5,PE,2/2/2022 20:30
409,Gairatganj,23.4202,78.2385,60.91,49,20,4.38,IN,2/2/2022 20:30
410,Magadan,59.5667,150.8,12.47,83,100,9.17,RU,2/2/2022 20:30
411,San Cristobal,7.7669,-72.225,80.78,25,3,7.94,VE,2/2/2022 20:26
412,Garoua Boulai,5.8833,14.55,71.04,29,3,0.78,CM,2/2/2022 20:30
413,Skuodas,56.2667,21.5333,28.18,94,61,2.08,LT,2/2/2022 20:30
414,Grindavik,63.8424,-22.4338,28.87,54,75,1.14,IS,2/2/2022 20:29
415,Bull Savanna,17.8868,-77.5902,81.14,59,1,15.77,JM,2/2/2022 20:28
416,Puerto Escondido,15.85,-97.0667,85.03,61,0,6.91,MX,2/2/2022 20:30
417,Najran,17.4924,44.1277,57.85,39,2,3.69,SA,2/2/2022 20:31
418,Ulladulla,-35.35,150.4667,63.09,66,88,13.09,AU,2/2/2022 20:31
419,Boyolangu,-8.1181,111.8935,74.66,91,83,1.86,ID,2/2/2022 20:31
420,Arona,28.0996,-16.681,66.83,71,75,1.99,ES,2/2/2022 20:27
421,Magnolia,33.2671,-93.2393,65.88,75,100,3.02,US,2/2/2022 20:26
422,Karratha,-20.7377,116.8463,81.41,72,100,4.99,AU,2/2/2022 20:31
423,Conceicao Do Araguaia,-8.2578,-49.2647,85.3,67,16,5.64,BR,2/2/2022 20:26
424,Bilma,18.6853,12.9164,63.75,16,0,7.47,NE,2/2/2022 20:26
425,Aykhal,66,111.5,-21.3,100,5,3,RU,2/2/2022 20:31
426,Kavaratti,10.5669,72.642,79.7,72,8,10.87,IN,2/2/2022 20:31
427,Kahului,20.8947,-156.47,80.96,63,20,3.44,US,2/2/2022 20:30
428,Sao Marcos,-28.9711,-51.0681,91.2,34,7,5.01,BR,2/2/2022 20:31
429,Corona,33.8753,-117.5664,67.03,15,0,24.16,US,2/2/2022 20:30
430,Kampot,10.6167,104.1833,77.05,82,39,4.23,KH,2/2/2022 20:31
